epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8653,3.20599,4.55965,4.19654,0.00554,0.11087,0.00416,0.00124,2.79991,3.6938,4.21607,0.00332407,0.00332407,0.00332407
2,50.443,2.95978,3.96053,3.70127,0.60734,0.10325,0.03481,0.00978,2.56404,4.02437,3.48718,0.00664093,0.00664093,0.00664093
3,74.2774,2.17822,3.17075,2.72727,0.64535,0.14476,0.0847,0.02806,2.17255,3.36168,2.96422,0.00994129,0.00994129,0.00994129
4,97.81,1.81471,2.56627,2.30628,0.57384,0.19481,0.14464,0.06873,1.832,2.60393,2.58501,0.00992575,0.00992575,0.00992575
5,121.207,1.6862,2.22749,2.14538,0.67688,0.2312,0.23982,0.12178,1.72921,2.25814,2.46071,0.009901,0.009901,0.009901
6,144.831,1.59276,2.02628,2.03473,0.5824,0.25307,0.24044,0.12654,1.69271,2.03827,2.3678,0.00987625,0.00987625,0.00987625
7,167.417,1.52735,1.89696,1.95911,0.6851,0.24158,0.28625,0.1549,1.6014,1.86402,2.24012,0.0098515,0.0098515,0.0098515
8,190.05,1.47077,1.78156,1.89989,0.44287,0.36367,0.37704,0.21191,1.58669,1.83765,2.24064,0.00982675,0.00982675,0.00982675
9,212.678,1.40913,1.70729,1.83863,0.53262,0.40536,0.40276,0.23285,1.50347,1.66781,2.12014,0.009802,0.009802,0.009802
10,235.595,1.39472,1.61718,1.80369,0.73621,0.34684,0.44591,0.25161,1.47493,1.57703,2.07061,0.00977725,0.00977725,0.00977725
11,258.922,1.37134,1.56041,1.77792,0.69102,0.34993,0.4014,0.24073,1.45987,1.50766,2.02386,0.0097525,0.0097525,0.0097525
12,281.973,1.33362,1.5094,1.74134,0.63997,0.31434,0.33483,0.19219,1.39771,1.56629,1.99657,0.00972775,0.00972775,0.00972775
13,305.081,1.31735,1.46298,1.71147,0.73083,0.38745,0.48454,0.27737,1.33077,1.40267,1.89962,0.009703,0.009703,0.009703
14,327.77,1.29222,1.42976,1.70411,0.45232,0.47449,0.48375,0.29103,1.40243,1.43746,1.95422,0.00967825,0.00967825,0.00967825
15,350.513,1.27652,1.38242,1.67755,0.46659,0.45751,0.46435,0.26763,1.36848,1.35951,1.94357,0.0096535,0.0096535,0.0096535
16,373.147,1.25129,1.35704,1.65743,0.57101,0.53792,0.5494,0.31985,1.34153,1.33773,1.90608,0.00962875,0.00962875,0.00962875
17,395.837,1.2521,1.34015,1.65426,0.70016,0.47668,0.54207,0.33203,1.28065,1.31382,1.84354,0.009604,0.009604,0.009604
18,418.546,1.22715,1.28776,1.62893,0.61856,0.47438,0.57551,0.34948,1.27433,1.19553,1.82507,0.00957925,0.00957925,0.00957925
19,441.224,1.22615,1.28712,1.62231,0.67511,0.48154,0.58651,0.36587,1.24205,1.23542,1.80234,0.0095545,0.0095545,0.0095545
20,464.004,1.20151,1.22843,1.59222,0.58194,0.50722,0.57436,0.36218,1.24378,1.20319,1.80025,0.00952975,0.00952975,0.00952975
21,486.927,1.19389,1.21656,1.59032,0.5255,0.5482,0.58443,0.36675,1.26309,1.15505,1.81586,0.009505,0.009505,0.009505
22,509.969,1.18094,1.20862,1.58484,0.51448,0.60851,0.64829,0.40985,1.19249,1.09462,1.73031,0.00948025,0.00948025,0.00948025
23,532.655,1.17385,1.17258,1.57098,0.51961,0.61724,0.59704,0.35695,1.26668,1.14604,1.80949,0.0094555,0.0094555,0.0094555
24,555.307,1.15905,1.15826,1.56067,0.48836,0.60326,0.55285,0.35765,1.20174,1.16116,1.72559,0.00943075,0.00943075,0.00943075
25,578.001,1.16075,1.15941,1.55914,0.61983,0.57623,0.63339,0.39354,1.21891,1.12227,1.75225,0.009406,0.009406,0.009406
26,600.693,1.15908,1.17528,1.56058,0.65412,0.60841,0.64144,0.42605,1.1675,1.07095,1.69991,0.00938125,0.00938125,0.00938125
27,623.426,1.13938,1.11213,1.53536,0.61392,0.62076,0.6865,0.43458,1.16251,1.00676,1.69859,0.0093565,0.0093565,0.0093565
28,646.116,1.13459,1.12062,1.53898,0.56479,0.63785,0.63232,0.39328,1.16935,1.08982,1.70419,0.00933175,0.00933175,0.00933175
29,668.722,1.12483,1.10701,1.52519,0.67163,0.60857,0.65851,0.42844,1.1342,0.97019,1.65598,0.009307,0.009307,0.009307
30,691.382,1.11223,1.07895,1.51334,0.69504,0.61878,0.68077,0.44516,1.15787,0.99633,1.6839,0.00928225,0.00928225,0.00928225
31,714.039,1.1073,1.06925,1.50197,0.65006,0.63385,0.67301,0.42998,1.12981,0.98524,1.64647,0.0092575,0.0092575,0.0092575
32,736.735,1.10013,1.06756,1.50238,0.61933,0.67141,0.68451,0.44919,1.11413,0.96269,1.64125,0.00923275,0.00923275,0.00923275
33,759.458,1.10198,1.06213,1.5031,0.63217,0.63965,0.67909,0.44282,1.11241,0.92693,1.6219,0.009208,0.009208,0.009208
34,782.294,1.09445,1.03938,1.50163,0.72758,0.60915,0.70515,0.45588,1.10649,0.93738,1.64927,0.00918325,0.00918325,0.00918325
35,805.103,1.08805,1.03835,1.49129,0.66291,0.65965,0.69324,0.46341,1.10724,0.91418,1.62135,0.0091585,0.0091585,0.0091585
36,827.947,1.07206,1.01276,1.47783,0.62023,0.72014,0.7216,0.48457,1.08871,0.90453,1.60811,0.00913375,0.00913375,0.00913375
37,850.674,1.07107,1.00629,1.47477,0.67425,0.71368,0.69603,0.45374,1.10361,0.90723,1.60766,0.009109,0.009109,0.009109
38,873.418,1.06247,0.99886,1.46978,0.64211,0.68626,0.71981,0.47466,1.06639,0.90211,1.58365,0.00908425,0.00908425,0.00908425
39,896.247,1.04954,0.98317,1.45576,0.70337,0.66441,0.73308,0.48427,1.06537,0.86813,1.58864,0.0090595,0.0090595,0.0090595
40,919.253,1.05766,0.97853,1.46003,0.68944,0.69378,0.7094,0.46306,1.09299,0.90308,1.60625,0.00903475,0.00903475,0.00903475
41,942.081,1.04138,0.9487,1.45078,0.70055,0.67614,0.74545,0.49682,1.05919,0.84687,1.58404,0.00901,0.00901,0.00901
42,965.03,1.04275,0.96245,1.4494,0.79072,0.66376,0.7535,0.50554,1.03985,0.83557,1.5492,0.00898525,0.00898525,0.00898525
43,987.737,1.03078,0.94527,1.44188,0.73093,0.68497,0.7494,0.49528,1.04852,0.85465,1.55711,0.0089605,0.0089605,0.0089605
44,1010.55,1.03114,0.94454,1.44044,0.66778,0.73115,0.74003,0.506,1.02033,0.82585,1.54377,0.00893575,0.00893575,0.00893575
45,1033.36,1.01909,0.93977,1.43054,0.83458,0.6351,0.77753,0.52983,1.01717,0.81315,1.53863,0.008911,0.008911,0.008911
46,1056.07,1.02302,0.92991,1.43095,0.6582,0.69784,0.72169,0.49431,1.00066,0.84369,1.5293,0.00888625,0.00888625,0.00888625
47,1078.73,1.02271,0.94087,1.43016,0.7915,0.69389,0.77818,0.53152,1.01048,0.79121,1.51821,0.0088615,0.0088615,0.0088615
48,1101.46,1.00332,0.91273,1.41629,0.73718,0.67207,0.76835,0.52695,1.00591,0.82958,1.5188,0.00883675,0.00883675,0.00883675
49,1124.15,1.00915,0.9001,1.41976,0.79189,0.65847,0.77203,0.51789,1.00729,0.79967,1.52875,0.008812,0.008812,0.008812
50,1146.82,1.00634,0.90347,1.41822,0.68526,0.69083,0.72574,0.49596,0.99215,0.80991,1.50636,0.00878725,0.00878725,0.00878725
51,1169.57,0.99399,0.87322,1.4045,0.81518,0.64112,0.76779,0.5218,0.99263,0.80084,1.50716,0.0087625,0.0087625,0.0087625
52,1192.28,1.00445,0.88793,1.40799,0.74908,0.70718,0.77126,0.52444,0.98957,0.79718,1.50175,0.00873775,0.00873775,0.00873775
53,1214.96,0.982,0.87843,1.4008,0.77523,0.70719,0.78524,0.54072,0.98839,0.74492,1.51265,0.008713,0.008713,0.008713
54,1237.69,0.99308,0.87911,1.41032,0.77256,0.7302,0.78276,0.54193,0.96642,0.75606,1.48867,0.00868825,0.00868825,0.00868825
55,1260.54,0.99564,0.89055,1.40468,0.79864,0.73123,0.79609,0.5473,0.96541,0.7321,1.48538,0.0086635,0.0086635,0.0086635
56,1283.23,0.98921,0.86666,1.40198,0.77277,0.77377,0.82409,0.57812,0.95486,0.72942,1.46904,0.00863875,0.00863875,0.00863875
57,1305.94,0.97888,0.86876,1.39083,0.78317,0.76205,0.82414,0.56592,0.96587,0.73725,1.47237,0.008614,0.008614,0.008614
58,1328.91,0.97897,0.86982,1.39498,0.79129,0.75207,0.8212,0.57078,0.95676,0.73461,1.46981,0.00858925,0.00858925,0.00858925
59,1351.72,0.96789,0.83776,1.38089,0.81953,0.70431,0.82796,0.57103,0.94823,0.73656,1.46291,0.0085645,0.0085645,0.0085645
60,1374.52,0.97458,0.84747,1.38737,0.80072,0.74726,0.81602,0.58074,0.94683,0.73209,1.45395,0.00853975,0.00853975,0.00853975
61,1397.23,0.96856,0.83953,1.38487,0.77212,0.7749,0.82816,0.58015,0.95435,0.72068,1.47693,0.008515,0.008515,0.008515
62,1420,0.95274,0.83509,1.37495,0.79763,0.75098,0.82249,0.58318,0.92856,0.70204,1.44626,0.00849025,0.00849025,0.00849025
63,1442.87,0.96371,0.84338,1.38042,0.7735,0.75603,0.80503,0.56664,0.93006,0.70857,1.44176,0.0084655,0.0084655,0.0084655
64,1465.55,0.96268,0.82644,1.37792,0.83403,0.74615,0.84327,0.59504,0.92034,0.68209,1.44474,0.00844075,0.00844075,0.00844075
65,1488.45,0.95649,0.82244,1.37208,0.76319,0.75714,0.82835,0.5831,0.92501,0.68649,1.4338,0.008416,0.008416,0.008416
66,1511.08,0.94495,0.81859,1.37035,0.85812,0.74444,0.84756,0.60797,0.917,0.68059,1.43002,0.00839125,0.00839125,0.00839125
67,1533.77,0.95204,0.81148,1.37229,0.81681,0.77393,0.84949,0.61886,0.90795,0.67277,1.4219,0.0083665,0.0083665,0.0083665
68,1556.45,0.94941,0.82775,1.36462,0.85876,0.76134,0.85148,0.60241,0.90938,0.66479,1.41718,0.00834175,0.00834175,0.00834175
69,1579.1,0.94995,0.82381,1.366,0.82452,0.754,0.84437,0.59996,0.90705,0.66507,1.41586,0.008317,0.008317,0.008317
70,1601.79,0.94379,0.81361,1.36083,0.80058,0.78691,0.84714,0.60922,0.90932,0.67906,1.42183,0.00829225,0.00829225,0.00829225
71,1624.45,0.93741,0.79925,1.35781,0.8563,0.77044,0.86037,0.61191,0.91492,0.65858,1.42797,0.0082675,0.0082675,0.0082675
72,1647.12,0.93218,0.80011,1.35444,0.81765,0.79815,0.86834,0.61426,0.91869,0.66608,1.42865,0.00824275,0.00824275,0.00824275
73,1669.83,0.9335,0.79259,1.35067,0.86993,0.755,0.87265,0.6161,0.89703,0.6502,1.4062,0.008218,0.008218,0.008218
74,1692.47,0.92415,0.78821,1.34922,0.83701,0.76283,0.83618,0.58883,0.8903,0.65248,1.407,0.00819325,0.00819325,0.00819325
75,1715.14,0.93539,0.78296,1.35488,0.8095,0.79286,0.84816,0.61707,0.89234,0.65468,1.41485,0.0081685,0.0081685,0.0081685
76,1737.8,0.91884,0.77547,1.34442,0.82426,0.78252,0.84936,0.61355,0.8772,0.63332,1.39709,0.00814375,0.00814375,0.00814375
77,1760.5,0.92373,0.77623,1.34586,0.82142,0.76698,0.85804,0.62333,0.88669,0.64608,1.40485,0.008119,0.008119,0.008119
78,1783.19,0.9247,0.7683,1.34231,0.80672,0.796,0.85632,0.61974,0.88803,0.62918,1.39957,0.00809425,0.00809425,0.00809425
79,1805.85,0.91524,0.77235,1.33824,0.79047,0.80285,0.8637,0.62025,0.89621,0.6373,1.40221,0.0080695,0.0080695,0.0080695
80,1828.49,0.90892,0.76051,1.33861,0.85814,0.72855,0.86186,0.61746,0.8807,0.62821,1.38996,0.00804475,0.00804475,0.00804475
81,1851.13,0.90591,0.75178,1.33326,0.88788,0.73708,0.87488,0.62592,0.87454,0.62466,1.39068,0.00802,0.00802,0.00802
82,1873.8,0.90665,0.76068,1.33262,0.79029,0.82307,0.87885,0.63633,0.87085,0.62322,1.38434,0.00799525,0.00799525,0.00799525
83,1896.46,0.90003,0.76345,1.32822,0.82343,0.78936,0.87433,0.62848,0.88343,0.63195,1.3961,0.0079705,0.0079705,0.0079705
84,1919.11,0.90679,0.7612,1.33422,0.81386,0.82464,0.87142,0.61836,0.86853,0.63936,1.38551,0.00794575,0.00794575,0.00794575
85,1941.77,0.8973,0.7426,1.32516,0.8497,0.76776,0.87451,0.62352,0.87546,0.62077,1.39187,0.007921,0.007921,0.007921
86,1964.45,0.89002,0.73537,1.32201,0.87454,0.75754,0.87603,0.61835,0.87648,0.62145,1.38656,0.00789625,0.00789625,0.00789625
87,1987.07,0.88746,0.73279,1.31872,0.85598,0.80011,0.87629,0.62705,0.87049,0.62111,1.37862,0.0078715,0.0078715,0.0078715
88,2009.77,0.89431,0.72751,1.3265,0.84744,0.80043,0.88367,0.63745,0.86549,0.59781,1.37992,0.00784675,0.00784675,0.00784675
89,2032.48,0.9015,0.74732,1.33099,0.89371,0.78305,0.89253,0.6376,0.85648,0.60974,1.3759,0.007822,0.007822,0.007822
90,2055.17,0.89457,0.74181,1.32474,0.90163,0.74778,0.8843,0.63784,0.85747,0.60223,1.36526,0.00779725,0.00779725,0.00779725
91,2077.89,0.9009,0.74202,1.3258,0.87299,0.78028,0.87966,0.63425,0.85658,0.60796,1.36984,0.0077725,0.0077725,0.0077725
92,2100.55,0.88566,0.72215,1.31379,0.828,0.82097,0.88032,0.63833,0.85485,0.60736,1.36937,0.00774775,0.00774775,0.00774775
93,2123.25,0.89014,0.7168,1.31649,0.7796,0.84169,0.87706,0.63712,0.85986,0.61022,1.37246,0.007723,0.007723,0.007723
94,2145.92,0.88219,0.71782,1.31177,0.80607,0.84815,0.88722,0.64035,0.85284,0.5898,1.37002,0.00769825,0.00769825,0.00769825
95,2168.61,0.88381,0.71693,1.31151,0.86204,0.79067,0.89167,0.63711,0.85121,0.58744,1.3682,0.0076735,0.0076735,0.0076735
96,2191.24,0.8784,0.7097,1.30752,0.86501,0.7729,0.89588,0.65237,0.85052,0.57967,1.36301,0.00764875,0.00764875,0.00764875
97,2213.98,0.87114,0.71454,1.30657,0.83016,0.82758,0.89405,0.65233,0.84475,0.5741,1.36102,0.007624,0.007624,0.007624
98,2236.65,0.87602,0.71086,1.30909,0.84631,0.81724,0.89327,0.65561,0.83735,0.57317,1.35506,0.00759925,0.00759925,0.00759925
99,2259.35,0.86597,0.70947,1.30431,0.86613,0.78768,0.89232,0.65461,0.8341,0.57885,1.35212,0.0075745,0.0075745,0.0075745
100,2281.98,0.87068,0.70703,1.30497,0.82741,0.82875,0.89564,0.6525,0.82949,0.57038,1.35463,0.00754975,0.00754975,0.00754975
101,2304.64,0.8598,0.70457,1.3048,0.90953,0.77824,0.90222,0.65146,0.83179,0.57642,1.35542,0.007525,0.007525,0.007525
102,2327.22,0.86344,0.69978,1.30122,0.85951,0.79538,0.90075,0.65777,0.82761,0.58175,1.35147,0.00750025,0.00750025,0.00750025
103,2349.89,0.86422,0.69736,1.30146,0.87163,0.79833,0.90396,0.65828,0.82795,0.56712,1.34418,0.0074755,0.0074755,0.0074755
104,2372.54,0.86818,0.70056,1.29893,0.8544,0.81065,0.90215,0.65743,0.83476,0.56757,1.3471,0.00745075,0.00745075,0.00745075
105,2395.19,0.85993,0.69783,1.29246,0.84351,0.82616,0.89992,0.66523,0.83034,0.56212,1.34283,0.007426,0.007426,0.007426
106,2417.75,0.85204,0.67557,1.2922,0.82128,0.82214,0.89603,0.65926,0.83927,0.571,1.35022,0.00740125,0.00740125,0.00740125
107,2440.38,0.84496,0.68424,1.2928,0.8912,0.76105,0.89778,0.65674,0.835,0.57095,1.34539,0.0073765,0.0073765,0.0073765
108,2462.99,0.85789,0.69099,1.29743,0.88154,0.77406,0.89816,0.65682,0.82907,0.56841,1.34416,0.00735175,0.00735175,0.00735175
109,2485.65,0.8461,0.67555,1.28522,0.8512,0.81528,0.89934,0.65493,0.82762,0.56392,1.34084,0.007327,0.007327,0.007327
110,2508.29,0.85646,0.6819,1.28795,0.89195,0.80255,0.90583,0.65658,0.82705,0.56235,1.34282,0.00730225,0.00730225,0.00730225
111,2530.85,0.83701,0.67377,1.27826,0.88781,0.79111,0.91076,0.65967,0.82767,0.55598,1.34456,0.0072775,0.0072775,0.0072775
112,2553.51,0.84353,0.67552,1.28283,0.88507,0.80691,0.9119,0.66591,0.83433,0.55052,1.34728,0.00725275,0.00725275,0.00725275
113,2576.14,0.84401,0.67504,1.27861,0.86109,0.81681,0.91253,0.66535,0.82984,0.54862,1.34424,0.007228,0.007228,0.007228
114,2598.72,0.83665,0.66911,1.2725,0.86045,0.83036,0.90654,0.66813,0.8362,0.54548,1.34879,0.00720325,0.00720325,0.00720325
115,2621.36,0.83471,0.66853,1.27985,0.84454,0.83199,0.90359,0.66706,0.83487,0.54334,1.34583,0.0071785,0.0071785,0.0071785
116,2644,0.8388,0.66772,1.27532,0.84742,0.8332,0.90583,0.6634,0.83322,0.53947,1.34883,0.00715375,0.00715375,0.00715375
117,2666.59,0.83101,0.66143,1.2748,0.84606,0.82786,0.90464,0.6642,0.82829,0.53819,1.34225,0.007129,0.007129,0.007129
118,2689.21,0.83492,0.65801,1.27397,0.90043,0.78754,0.90386,0.66596,0.82378,0.53533,1.33662,0.00710425,0.00710425,0.00710425
